,prices_usd,market_caps,total_volumes
2021-05-15 18:18:19,47814.78939395009,897912288498.602,62373910256.68358
2021-05-15 18:24:54,47827.925746052286,894658316648.7335,62490479954.19255
2021-05-15 18:28:33,48022.10030137113,894658316648.7335,62823804262.060974
2021-05-15 18:34:28,47970.276604645034,898537580926.7305,62801803127.800896
2021-05-15 18:39:33,48000.1884951852,898127590917.9536,61630116517.51417
2021-05-15 18:44:37,47967.627477748276,898127590917.9536,61645643305.77493
2021-05-15 18:49:57,47968.82054884322,897540667846.1205,61628974662.82205
2021-05-15 18:54:38,47969.08987484117,897540667846.1205,61503468600.94025
2021-05-15 19:00:00,48020.15258447076,898291422761.6339,61596079104.57217
2021-05-15 19:02:57,48021.78510291213,898291422761.6339,61424685734.4939
2021-05-15 19:09:18,47914.812297089135,896530123876.2263,61283487312.26431
2021-05-15 19:13:26,47870.7495601544,896530123876.2263,62465330215.063835
2021-05-15 19:19:07,47556.46293430181,896530123876.2263,62122333269.46372
2021-05-15 19:24:55,47401.776531693555,889825981906.5563,62137880648.85326
2021-05-15 19:28:59,47385.11765005214,886619951087.7136,62233577859.149765
2021-05-15 19:34:25,47311.36555132849,886619951087.7136,62274572426.292274
2021-05-15 19:38:53,47511.35651013884,888982283513.8867,62794956665.96287
2021-05-15 19:44:39,47428.34087569845,888982283513.8867,61424974965.79734
2021-05-15 19:48:44,47747.293258869315,893397216802.0408,63499499187.40207
2021-05-15 19:54:19,47860.12500867651,893397216802.0408,63845947026.92162
2021-05-15 19:58:58,47740.05005733954,893261689620.3773,62489235199.89241
2021-05-15 20:04:42,48162.17207127318,893261689620.3773,64152400619.29447
2021-05-15 20:08:57,48461.08695717077,893261689620.3773,64572371230.33057
2021-05-15 20:13:08,48712.657450695355,913336682042.0022,64980280361.82408
2021-05-15 20:19:56,48415.04822876486,905892418126.876,63410094228.76477
2021-05-15 20:24:34,48296.00942041076,905892418126.876,63382897999.88536
2021-05-15 20:28:44,48330.476024610995,905892418126.876,63480810313.61743
2021-05-15 20:34:10,48440.176510529396,904309990321.2634,63630101865.82675
2021-05-15 20:38:24,48445.35530208871,906459492806.0122,63534322840.5617
2021-05-15 20:43:58,48411.55284445857,906459492806.0122,63435860164.0764
2021-05-15 20:48:31,48388.24245351024,905390856123.8716,62982203214.62482
2021-05-15 20:53:28,48366.91185950215,905390856123.8716,63258059912.95139
2021-05-15 20:59:13,48299.89574521734,903739011189.4915,63618634501.673874
2021-05-15 21:02:16,48193.264640214635,903739011189.4915,62842283066.5411
2021-05-15 21:09:53,48511.473005714535,907697831829.6138,64306490034.60307
2021-05-15 21:13:51,48391.72857838151,907697831829.6138,62320325081.443596
2021-05-15 21:19:53,48342.78710210312,904541889467.4515,62814054125.508736
2021-05-15 21:24:08,48331.81353950208,904541889467.4515,62792195009.48508
2021-05-15 21:24:08,48331.81353950208,904541889467.4515,62792195009.48508
